http://epos-ip.org/WP16/Analogue, "EPOS Analogue Laboratories"
http://epos-ip.org/WP16/Analogue/Main_Setting, "Main Setting"
http://epos-ip.org/WP16/Analogue/Process/Hazard, "Process/Hazard"
http://epos-ip.org/WP16/Analogue/Deformation_Type, "Deformation Type"
http://epos-ip.org/WP16/Analogue/Material, "Material"
http://epos/WP16Vocabulary/Apparatus/Densimeter,"Densimeter"
http://epos/WP16Vocabulary/Apparatus/Dynamometer,"Dynamometer"
http://epos/WP16Vocabulary/Apparatus/Earthquake_simulator,"Earthquake simulator"
http://epos/WP16Vocabulary/Apparatus/Electric_engine,"Electric engine (mm/hr)"
http://epos/WP16Vocabulary/Apparatus/Electronic_microscope,"Electronic microscope"
http://epos/WP16Vocabulary/Apparatus/Extension_box,"Extension box"
http://epos/WP16Vocabulary/Apparatus/Fault_simulator,"Fault simulator"
http://epos/WP16Vocabulary/Apparatus/Flow_channel,"Flow channel"
http://epos/WP16Vocabulary/Apparatus/Fluid_injector,"Fluid injector"
http://epos/WP16Vocabulary/Apparatus/Fluid_injector_tc,"Fluid injector termally controlled"
http://epos/WP16Vocabulary/Apparatus/Fluid_pressure_device,"Fluid pressure device"
http://epos/WP16Vocabulary/Apparatus/Fog_box,"Fog box"
http://epos/WP16Vocabulary/Apparatus/Box/Box_cm_scale,"Glass/Plexiglas box (cm scale)"
http://epos/WP16Vocabulary/Apparatus/Box/Box_m_scale,"Glass/Plexiglas box (meter scale)"
http://epos/WP16Vocabulary/Apparatus/Box,"Glass/Plexiglas box"
http://epos/WP16Vocabulary/Apparatus/Granular_flow_simulator,"Granular flow simulator"
http://epos/WP16Vocabulary/Apparatus/Gravity_load_device,"Gravity load device (Centrifuge)"
http://epos/WP16Vocabulary/Apparatus/Gravity_sliding_simulator,"Gravity sliding simulator"
http://epos/WP16Vocabulary/Apparatus/Heating_device,"Heating device"
http://epos/WP16Vocabulary/Apparatus/Hubbert_shear_box,"Hubbert-type shear box"
http://epos/WP16Vocabulary/Apparatus/Peristaltic_pump,"Peristaltic pump"
http://epos/WP16Vocabulary/Apparatus/Perspex_cylinder,"Perspex cylinder"
http://epos/WP16Vocabulary/Apparatus/Pycnometer,"Pycnometer"
http://epos/WP16Vocabulary/Apparatus/Rainfall_system,"Rainfall system"
http://epos/WP16Vocabulary/Apparatus/Rheometer,"Rheometer"
http://epos/WP16Vocabulary/Apparatus/Ring_shear_tester,"Ring-shear tester"
http://epos/WP16Vocabulary/Apparatus/River_sytem_simulator,"River sytem simulator"
http://epos/WP16Vocabulary/Apparatus/Sandbox/Sandbox_cm_scale,"Sandbox (cm scale)"
http://epos/WP16Vocabulary/Apparatus/Sandbox/Sandbox_m_scale,"Sandbox (meter scale)"
http://epos/WP16Vocabulary/Apparatus/Sandbox,"Sandbox"
http://epos/WP16Vocabulary/Apparatus/Sediment_feeders,"Sediment feeders"
http://epos/WP16Vocabulary/Apparatus/Shear_box,"Shear box"
http://epos/WP16Vocabulary/Apparatus/Sieving_device,"Sieving device"
http://epos/WP16Vocabulary/Apparatus/Squeeze_box,"Squeeze box"
http://epos/WP16Vocabulary/Apparatus/Subduction_box,"Subduction box"
http://epos/WP16Vocabulary/Apparatus/Thermomechanics_apparatus,"Thermomechanics apparatus"
http://epos/WP16Vocabulary/Apparatus/Triaxal_tester,"Triaxal tester"
http://epos/WP16Vocabulary/Apparatus/Tsunami_simulator,"Tsunami simulator"
http://epos/WP16Vocabulary/Apparatus/Turbidity_current_simulator,"Turbidity current simulator"
http://epos/WP16Vocabulary/Apparatus/Uniaxial_tester,"Uniaxial tester"
http://epos/WP16Vocabulary/Apparatus/Vice_tester,"Vice tester"
http://epos/WP16Vocabulary/Apparatus/Viscometer,"Viscometer"
http://epos/WP16Vocabulary/Apparatus/Wedge_simulator,"Wedge simulator"
http://epos/WP16Vocabulary/Monitoring,"Monitoring"
http://epos/WP16Vocabulary/Monitoring/Conductivity_measuring_system,"Conductivity measuring system"
http://epos/WP16Vocabulary/Monitoring/Deflection_light,"Deflection of a light beam"
http://epos/WP16Vocabulary/Monitoring/Discharge_meter,"Discharge meter"
http://epos/WP16Vocabulary/Monitoring/Electrochemical_techniques,"Electrochemical techniques"
http://epos/WP16Vocabulary/Monitoring/HFR_camera,"High frame rate camera"
http://epos/WP16Vocabulary/Monitoring/Kinect_Microsoft,"Kinect Microsoft"
http://epos/WP16Vocabulary/Monitoring/Laser_interferometer,"Laser interferometer"
http://epos/WP16Vocabulary/Monitoring/Laser_scanner,"Laser scanner"
http://epos/WP16Vocabulary/Monitoring/Lidar,"Lidar"
http://epos/WP16Vocabulary/Monitoring/MEMS_accelerometer,"MEMS accelerometer"
http://epos/WP16Vocabulary/Monitoring/Schlieren,"Schlieren/Moiré"
http://epos/WP16Vocabulary/Monitoring/Sectioning,"Sectioning","Acquisition of cross sections of the model to investigate internal deformation."
http://epos/WP16Vocabulary/Monitoring/Seismic_reflection,"Seismic reflection techniques"
http://epos/WP16Vocabulary/Monitoring/SLR_camera,"SLR camera"
http://epos/WP16Vocabulary/Monitoring/Temperature_measurement,"Temperature measurement"
http://epos/WP16Vocabulary/Monitoring/Thermochromic_liquid_crystals,"Thermochromic liquid crystals"
http://epos/WP16Vocabulary/Monitoring/Time_lapse_camera,"Time lapse camera"
http://epos/WP16Vocabulary/Monitoring/Ultrasonic_doppler_velocimetry,"Ultrasonic doppler velocimetry"
http://epos/WP16Vocabulary/Monitoring/Videocamera,"Videocamera"
http://epos/WP16Vocabulary/Monitoring/CT_scan,"X-ray computed tomographic scanner (CT-scan)"
http://epos/WP16Vocabulary/Monitoring/Camera,"Generic camera","Generic camera"
http://epos/WP16Vocabulary/Monitoring/ForceSensor,"Force sensor"
http://epos/WP16Vocabulary/Monitoring/StrainGauge,"Strain gauge"
http://epos/WP16Vocabulary/Monitoring/Photoelasticity,"Photoelasticity"
http://epos/WP16Vocabulary/Monitoring/Piezotransducer,"Piezotransducer"
http://epos/WP16Vocabulary/Software,"Software"
http://epos/WP16Vocabulary/Software/Envi,"Envi-IDL"
http://epos/WP16Vocabulary/Software/Erdas,"Erdas (LEYCA)"
http://epos/WP16Vocabulary/Software/Geomodeller,"Geomodeller (Intrepid Geoscience)"
http://epos/WP16Vocabulary/Software/GeoSec,"GeoSec"
http://epos/WP16Vocabulary/Software/GeoTools,"GeoTools (AOA Geophysics Inc)"
http://epos/WP16Vocabulary/Software/GOCAD,"GOCAD (Earth Decision - Paradigm) "
http://epos/WP16Vocabulary/Software/LabView_Data_Viewer,"LabView Data Viewer"
http://epos/WP16Vocabulary/Software/LabView_Deformation_Mapper,"LabView Deformation Mapper"
http://epos/WP16Vocabulary/Software/Lens,"Lens (Agisoft)"
http://epos/WP16Vocabulary/Software/Light_3D,"Light-3D"
http://epos/WP16Vocabulary/Software/Matlab,"Matlab (Mathworks)"
http://epos/WP16Vocabulary/Software/Microstation,"Microstation XM (Bentley)"
http://epos/WP16Vocabulary/Software/Move,"Move (Midland Valley)"
http://epos/WP16Vocabulary/Software/OPTUM,"OPTUM"
http://epos/WP16Vocabulary/Software/Particle_Flow_Code,"Particle Flow Code (numerical software)"
http://epos/WP16Vocabulary/Software/PathfindeR,"Pathfinder (Trimble) "
http://epos/WP16Vocabulary/Software/Petrel,"Petrel (Schlumberger)"
http://epos/WP16Vocabulary/Software/Polyworks,"Polyworks (Innovmetric)"
http://epos/WP16Vocabulary/Software/Promax,"Promax (Landmark) "
http://epos/WP16Vocabulary/Software/PyLith,"PyLith (numerical software)"
http://epos/WP16Vocabulary/Software/Python,"Python"
http://epos/WP16Vocabulary/Software/QDYN,"QDYN (numerical software)"
http://epos/WP16Vocabulary/Software/RMS,"RMS (Roxar)"
http://epos/WP16Vocabulary/Software/Seiswork,"Seiswork (Landmark) "
http://epos/WP16Vocabulary/Software/SLAMTEC,"SLAMTEC"
http://epos/WP16Vocabulary/Software/Solidworks,"Solidworks"
http://epos/WP16Vocabulary/Software/StereoScan,"StereoScan (Agisoft)"
http://epos/WP16Vocabulary/Software/Terrasync,"Terrasync (Trimble) "
http://epos/WP16Vocabulary/Software/Kingdom_Suite,"The Kingdom Suite (SMT)"
http://epos/WP16Vocabulary/Software/TopPad,"TopPad (Topcon) "
http://epos/WP16Vocabulary/Software/Visual_Basic,"Visual Basic (Microsoft)"
http://epos/WP16Vocabulary/Software/Visual_Fortran,"Visual Fortran (Compaq)"
http://epos/WP16Vocabulary/Software/Visual_Studio,"Visual Studio (Microsoft)"
http://epos/WP16Vocabulary/Software/PIV,"Digital Image Correlation (DIC) / Particle Image Velocimetry (PIV)"
http://epos/WP16Vocabulary/Software/PIV/Matlab_code,"Matlab code"
http://epos/WP16Vocabulary/Software/PIV/PIVlab,"PIVlab"
http://epos/WP16Vocabulary/Software/PIV/TecPIV,"TecPIV","Ref.: Boutelier et al., 2006"
http://epos/WP16Vocabulary/Software/SfM, "Structure from Motion (SfM)","Any software using a photogrammetric range imaging technique for estimating three-dimensional structures from two-dimensional image sequences that may be coupled with local motion signals"
http://epos/WP16Vocabulary/Software/SfM/Photoscan,"Photoscan (Agisoft)","Documentation: http://www.agisoft.com"
http://epos/WP16Vocabulary/Software/SfM/Pix4d,"Pix4d (Analist Group)","Documentation: https://pix4d.com"
http://epos/WP16Vocabulary/Software/SfM/PPT,"Python Photogrammetry Toolbox (PPT)"
http://epos/WP16Vocabulary/Software/SfM/Metashape,"Metashape"
http://epos/WP16Vocabulary/Software/SfM/MicMac,"MicMac","Matis (IGN). MICMAC (Multi-Images Correspondances, Méthodes Automatiques de Corrélation) uses the orientations and calibrations processed by Apero to create depth maps and dense 3D point clouds. The matching has a multi-scale, multi-resolution, and pyramidal approach. Documentation: http://micmac.ensg.eu/index.php. Reference: i.e. Galland et al., 2016."
http://epos/WP16Vocabulary/Software/SfM/Apero,"Apero","Matis (IGN). Apero is the acronym for Aérotriangulation Photogrammétrique Expérimentale Relativement Opérationnelle. This software, working on Linux and MaxOs, is used for automatic tie point extraction, initial solution computation, bundle adjustment for relative and absolute orientation."
http://epos/WP16Vocabulary/Software/SfM/Zephyr,"3DF Zephyr (3Dflow)","Documentation: https://www.3dflow.net/it/3df-zephyr-pro-3d-models-from-photos/"
http://epos/WP16Vocabulary/Software/SfM/Remake,"Remake (Autodesk)","Documentation: https://remake.autodesk.com/about"
http://epos/WP16Vocabulary/Software/SfM/OpenMVS,"OpenMVS Open Multiple View Stereovision","Documentation: https://github.com/cdcseacave/openMVS/wiki"
http://epos/WP16Vocabulary/Software/SfM/Other,"Other SFM based software","Please add the software name in the “free keywords” box"
http://epos/WP16Vocabulary/Software/MeshLab,"MeshLab","Open source system for processing and editing 3D triangular meshes. Documentation: http://www.meshlab.net"
http://epos/WP16Vocabulary/Software/CloudCompare,"CloudCompare","3D point cloud (and triangular mesh) editing and processing software. Documentation: http://www.cloudcompare.org"
http://epos/WP16Vocabulary/Software/PIV/GeoPIV,"GeoPIV","Absolute displacement accurancy 0.12-0.015 mm. Ref.: Wolf et al., 2003; Cruz et al., 2008, 2010."
http://epos/WP16Vocabulary/Software/PIV/Strainmaster,"StrainMaster (La Vision GmbH)","Absolute spatial resolution 0.5-1.4 mm, absolute displacement accurancy 0.05-0.5 mm. Ref.: Adam et al., 2002, 2005; Hampel et al., 2004; Hoth et al., 2006, 2007, 2008; Yamada et al., 2006, 2010; Schrank and Cruden, 2010."
http://epos/WP16Vocabulary/Software/PIV/DigitalCameraSoft,"Digital Camera","Absolute spatial resolution: grid spacing 20 -25 mm. Foumier et al., 2004; Haq and Davis, 2009, 2010."
http://epos/WP16Vocabulary/Software/PIV/MicMac,"MicMac","Reference: i.e. Galland et al., 2016."
http://epos/WP16Vocabulary/Software/PIV/MatPIV,"MatPIV","Absolute spatial resolution 1.66 mm. Ref.: Leever et al., 2011."
http://epos/WP16Vocabulary/Software/PIV/CosiCorr,"COSI-Corr"
http://epos/WP16Vocabulary/Software/FeatureTracking,"Feature Tracking","Non commercial software with sub-pixel resolution. Ref.: Funiciello et al., 2006."
http://epos/WP16Vocabulary/Software/OpticalFlow,"Optical Flow","Envi module. Absolute spatial resoluzion 0.5-1 mm, absolute displacement 0.05 mm. Ref.: Dominguez et al., 2001; Bernard et al., 2007; Graveleau and Dominquez, 2008; Graveleau et al., 2008."
http://epos/WP16Vocabulary/MeasuredProperty/TensileStrenght,"Tensile strength"
http://epos/WP16Vocabulary/MeasuredProperty/Cohesion,"Cohesion"
http://epos/WP16Vocabulary/MeasuredProperty/FrictionCoefficient,"Friction coefficient"
http://epos/WP16Vocabulary/MeasuredProperty/RateState,"Rate-state parameters"
http://epos/WP16Vocabulary/MeasuredProperty/YoungModulus,"Young modulus"
http://epos/WP16Vocabulary/MeasuredProperty/BulkModulus,"Bulk modulus"
http://epos/WP16Vocabulary/MeasuredProperty/ShearModulus,"Shear modulus"
http://epos/WP16Vocabulary/MeasuredProperty/PoissonRatio,"Poisson ratio"
http://epos/WP16Vocabulary/MeasuredProperty/LameConstant,"Lame constant"
http://epos/WP16Vocabulary/MeasuredProperty/FractureToughness,"Fracture toughness"
http://epos/WP16Vocabulary/MeasuredProperty/SwaveVelocity,"S-wave velocity"
http://epos/WP16Vocabulary/MeasuredProperty/PwaveVelocity,"P-wave velocity"
http://epos/WP16Vocabulary/MeasuredProperty/Viscosity,"Viscosity"
http://epos/WP16Vocabulary/MeasuredProperty/StressExponent,"Stress exponent"
http://epos/WP16Vocabulary/MeasuredProperty/YieldStress,"Yield stress"
http://epos/WP16Vocabulary/MeasuredProperty/LossModulus,"Loss modulus"
http://epos/WP16Vocabulary/MeasuredProperty/StorageModulus,"Storage modulus"
http://epos/WP16Vocabulary/MeasuredProperty/MaxwellRelaxationTime,"Maxwell relaxation time"
http://epos/WP16Vocabulary/MeasuredProperty/RheologicalModel,"Rheological model"
http://epos/WP16Vocabulary/MeasuredProperty/Density,"Density"
http://epos/WP16Vocabulary/MeasuredProperty/SurfaceImage,"Surface image","Images of grains surface of granular materials"
http://epos/WP16Vocabulary/MeasuredProperty/SurfaceRoughness,"Surface roughness","Component of surface texture. It is quantified by the diviations in the direction of the normal vector of a real surface from its ideal form."
http://epos/WP16Vocabulary/MeasuredProperty/GrainSizeDistribution,"Grain size distribution"
